population	training_receptor	max_identity_to_matched	exclude_at_0.50
P0_strict	gpr15_human	0.453125	False
P0_strict	gpr17_human	0.484375	False
P0_strict	gpr20_human	0.484375	False
P0_strict	gpr21_human	0.578125	True
P0_strict	gpr3_human	0.5	True
P0_strict	gpr52_human	0.578125	True
P0_strict	gpr61_human	0.421875	False
P0_strict	gpr6_human	0.578125	True
P0_strict	gpr84_human	0.390625	False
P0_strict	gpr88_human	0.375	False
P0_strict	grpr_human	0.4375	False
P0_strict	hcar3_human	0.9375	True
P0_strict	hrh1_human	0.609375	True
P0_strict	hrh2_human	0.625	True
P0_strict	hrh3_human	0.578125	True
P0_strict	hrh4_human	0.5	True
P0_strict	kissr_human	0.59375	True
P0_strict	lshr_human	0.40625	False
P0_strict	lt4r1_human	0.484375	False
P0_strict	mc3r_human	0.546875	True
P0_strict	mc4r_human	0.5625	True
P0_strict	mc5r_human	0.5625	True
P0_strict	mchr1_human	0.484375	False
P0_strict	mchr2_human	0.453125	False
P0_strict	mrgrd_human	0.546875	True
P0_strict	mrgx1_human	0.84375	True
P0_strict	mrgx4_human	0.8125	True
P0_strict	mshr_human	0.53125	True
P0_strict	mtlr_human	0.390625	False
P0_strict	mtr1a_human	0.46875	False
P0_strict	mtr1b_human	0.4375	False
P0_strict	nk1r_human	0.40625	False
P0_strict	nk2r_human	0.4375	False
P0_strict	nk3r_human	0.453125	False
P0_strict	nmbr_human	0.40625	False
P0_strict	nmur1_human	0.484375	False
P0_strict	nmur2_human	0.5	True
P0_strict	npy1r_human	0.390625	False
P0_strict	npy2r_human	0.5	True
P0_strict	npy4r_human	0.390625	False
P0_strict	ntr1_human	0.40625	False
P0_strict	ntr1_rat	0.390625	False
P0_strict	oprk_human	0.90625	True
P0_strict	oprm_human	0.9375	True
P0_strict	oprm_mouse	0.921875	True
P0_strict	oprx_human	0.78125	True
P0_strict	opsd_human	0.921875	True
P0_strict	opsr_human	0.625	True
P0_strict	ox2r_human	0.578125	True
P0_strict	oxyr_human	0.40625	False
P0_strict	p2ry1_human	0.453125	False
P0_strict	p2y12_human	0.421875	False
P0_strict	par1_human	0.40625	False
P0_strict	pd2r2_human	0.515625	True
P0_strict	pe2r2_human	0.359375	False
P0_strict	pe2r3_human	0.359375	False
P0_strict	pe2r4_human	0.3125	False
P0_strict	pf2r_human	0.3125	False
P0_strict	pi2r_human	0.296875	False
P0_strict	prlhr_human	0.484375	False
P0_strict	ptafr_human	0.421875	False
P0_strict	q3ksp2_ebvg	0.15625	False
P0_strict	q76sf8_hhv8	0.28125	False
P0_strict	qrfpr_human	0.453125	False
P0_strict	rl3r2_human	0.40625	False
P0_strict	rxfp1_human	0.375	False
P0_strict	s1pr1_human	0.59375	True
P0_strict	s1pr3_human	0.546875	True
P0_strict	s1pr5_human	0.484375	False
P0_strict	ssr1_human	0.59375	True
P0_strict	ssr2_human	0.65625	True
P0_strict	ssr3_human	0.5625	True
P0_strict	ssr4_human	0.578125	True
P0_strict	ssr5_human	0.546875	True
P0_strict	sucr1_human	0.421875	False
P0_strict	ta2r_human	0.359375	False
P0_strict	taa7f_mouse	0.875	True
P0_strict	taar1_human	0.875	True
P0_strict	trfr_human	0.5	True
P0_strict	tshr_human	0.4375	False
P0_strict	us28_hcmva	0.4375	False
P0_strict	v2r_human	0.40625	False
P0_strict	xcr1_human	0.421875	False
P1_terminal_strict	5ht1a_human	0.625	True
P1_terminal_strict	5ht1d_human	0.59375	True
P1_terminal_strict	5ht1e_human	0.59375	True
P1_terminal_strict	5ht1f_human	0.609375	True
P1_terminal_strict	5ht2a_human	0.515625	True
P1_terminal_strict	5ht2b_human	0.515625	True
P1_terminal_strict	5ht2c_human	0.53125	True
P1_terminal_strict	5ht4r_human	0.640625	True
P1_terminal_strict	5ht5a_human	0.53125	True
P1_terminal_strict	5ht6r_human	0.515625	True
P1_terminal_strict	5ht7r_human	0.609375	True
P1_terminal_strict	aa1r_human	0.71875	True
P1_terminal_strict	aa2br_human	0.734375	True
P1_terminal_strict	aa3r_human	0.625	True
P1_terminal_strict	acm1_human	0.921875	True
P1_terminal_strict	acm4_human	0.828125	True
P1_terminal_strict	acthr_human	0.5	True
P1_terminal_strict	ada1a_human	0.625	True
P1_terminal_strict	ada2a_human	0.625	True
P1_terminal_strict	ada2b_human	0.59375	True
P1_terminal_strict	adrb1_melga	0.875	True
P1_terminal_strict	adrb3_canlf	0.71875	True
P1_terminal_strict	adrb3_human	0.71875	True
P1_terminal_strict	agtr1_human	0.5	True
P1_terminal_strict	apj_human	0.53125	True
P1_terminal_strict	b1b1u5_9arac	0.40625	False
P1_terminal_strict	bkrb1_human	0.4375	False
P1_terminal_strict	bkrb2_human	0.453125	False
P1_terminal_strict	brs3_human	0.4375	False
P1_terminal_strict	c3ar_human	0.5	True
P1_terminal_strict	c5ar1_human	0.453125	False
P1_terminal_strict	cckar_human	0.546875	True
P1_terminal_strict	ccr1_human	0.484375	False
P1_terminal_strict	ccr2_human	0.453125	False
P1_terminal_strict	ccr3_human	0.46875	False
P1_terminal_strict	ccr5_human	0.4375	False
P1_terminal_strict	ccr8_human	0.5	True
P1_terminal_strict	cml1_human	0.5	True
P1_terminal_strict	cml2_human	0.453125	False
P1_terminal_strict	cnr1_human	0.515625	True
P1_terminal_strict	cnr2_human	0.484375	False
P1_terminal_strict	cx3c1_human	0.484375	False
P1_terminal_strict	cxcr1_human	0.453125	False
P1_terminal_strict	cxcr2_human	0.46875	False
P1_terminal_strict	cxcr3_human	0.40625	False
P1_terminal_strict	cxcr4_human	0.4375	False
P1_terminal_strict	drd1_human	0.703125	True
P1_terminal_strict	drd2_human	0.609375	True
P1_terminal_strict	drd3_human	0.59375	True
P1_terminal_strict	drd4_human	0.578125	True
P1_terminal_strict	drd5_human	0.671875	True
P1_terminal_strict	e7fel0_danre	0.390625	False
P1_terminal_strict	ednra_human	0.40625	False
P1_terminal_strict	ednrb_human	0.40625	False
P1_terminal_strict	ffar1_human	0.3125	False
P1_terminal_strict	ffar2_human	0.390625	False
P1_terminal_strict	ffar3_human	0.5	True
P1_terminal_strict	ffar4_human	0.34375	False
P1_terminal_strict	fpr1_human	0.5	True
P1_terminal_strict	fpr2_human	0.515625	True
P1_terminal_strict	fshr_human	0.4375	False
P1_terminal_strict	galr1_human	0.515625	True
P1_terminal_strict	galr2_human	0.5	True
P1_terminal_strict	gasr_human	0.53125	True
P1_terminal_strict	ghsr_human	0.4375	False
P1_terminal_strict	gp119_human	0.484375	False
P1_terminal_strict	gp132_human	0.421875	False
P1_terminal_strict	gp139_human	0.421875	False
P1_terminal_strict	gp161_human	0.4375	False
P1_terminal_strict	gp174_human	0.515625	True
P1_terminal_strict	gp183_human	0.421875	False
P1_terminal_strict	gpbar_human	0.296875	False
P1_terminal_strict	gper1_human	0.484375	False
P1_terminal_strict	gpr12_human	0.546875	True
P1_terminal_strict	gpr15_human	0.453125	False
P1_terminal_strict	gpr17_human	0.484375	False
P1_terminal_strict	gpr20_human	0.484375	False
P1_terminal_strict	gpr21_human	0.578125	True
P1_terminal_strict	gpr3_human	0.5	True
P1_terminal_strict	gpr52_human	0.578125	True
P1_terminal_strict	gpr61_human	0.421875	False
P1_terminal_strict	gpr6_human	0.578125	True
P1_terminal_strict	gpr84_human	0.390625	False
P1_terminal_strict	gpr88_human	0.375	False
P1_terminal_strict	grpr_human	0.4375	False
P1_terminal_strict	hrh1_human	0.609375	True
P1_terminal_strict	hrh2_human	0.625	True
P1_terminal_strict	hrh3_human	0.578125	True
P1_terminal_strict	hrh4_human	0.5	True
P1_terminal_strict	kissr_human	0.59375	True
P1_terminal_strict	lshr_human	0.40625	False
P1_terminal_strict	lt4r1_human	0.484375	False
P1_terminal_strict	mc3r_human	0.546875	True
P1_terminal_strict	mc4r_human	0.5625	True
P1_terminal_strict	mc5r_human	0.5625	True
P1_terminal_strict	mchr1_human	0.484375	False
P1_terminal_strict	mchr2_human	0.453125	False
P1_terminal_strict	mrgrd_human	0.546875	True
P1_terminal_strict	mrgx1_human	0.84375	True
P1_terminal_strict	mshr_human	0.53125	True
P1_terminal_strict	mtlr_human	0.390625	False
P1_terminal_strict	mtr1a_human	0.46875	False
P1_terminal_strict	mtr1b_human	0.4375	False
P1_terminal_strict	nk1r_human	0.40625	False
P1_terminal_strict	nk2r_human	0.4375	False
P1_terminal_strict	nk3r_human	0.453125	False
P1_terminal_strict	nmbr_human	0.40625	False
P1_terminal_strict	nmur1_human	0.484375	False
P1_terminal_strict	nmur2_human	0.5	True
P1_terminal_strict	npy1r_human	0.390625	False
P1_terminal_strict	npy2r_human	0.5	True
P1_terminal_strict	npy4r_human	0.390625	False
P1_terminal_strict	ntr1_human	0.40625	False
P1_terminal_strict	ntr1_rat	0.390625	False
P1_terminal_strict	oprk_human	0.90625	True
P1_terminal_strict	oprm_human	0.9375	True
P1_terminal_strict	oprm_mouse	0.921875	True
P1_terminal_strict	oprx_human	0.78125	True
P1_terminal_strict	opsd_human	0.921875	True
P1_terminal_strict	opsr_human	0.625	True
P1_terminal_strict	ox2r_human	0.578125	True
P1_terminal_strict	oxyr_human	0.40625	False
P1_terminal_strict	p2ry1_human	0.453125	False
P1_terminal_strict	p2y12_human	0.421875	False
P1_terminal_strict	par1_human	0.40625	False
P1_terminal_strict	pd2r2_human	0.515625	True
P1_terminal_strict	pe2r2_human	0.4375	False
P1_terminal_strict	pe2r4_human	0.46875	False
P1_terminal_strict	pf2r_human	0.46875	False
P1_terminal_strict	pi2r_human	0.484375	False
P1_terminal_strict	prlhr_human	0.484375	False
P1_terminal_strict	ptafr_human	0.421875	False
P1_terminal_strict	q3ksp2_ebvg	0.15625	False
P1_terminal_strict	q76sf8_hhv8	0.28125	False
P1_terminal_strict	qrfpr_human	0.453125	False
P1_terminal_strict	rl3r2_human	0.40625	False
P1_terminal_strict	rxfp1_human	0.375	False
P1_terminal_strict	s1pr1_human	0.59375	True
P1_terminal_strict	s1pr3_human	0.546875	True
P1_terminal_strict	s1pr5_human	0.484375	False
P1_terminal_strict	ssr1_human	0.59375	True
P1_terminal_strict	ssr2_human	0.65625	True
P1_terminal_strict	ssr3_human	0.5625	True
P1_terminal_strict	ssr4_human	0.578125	True
P1_terminal_strict	ssr5_human	0.546875	True
P1_terminal_strict	sucr1_human	0.421875	False
P1_terminal_strict	ta2r_human	0.46875	False
P1_terminal_strict	taa7f_mouse	0.875	True
P1_terminal_strict	taar1_human	0.875	True
P1_terminal_strict	trfr_human	0.5	True
P1_terminal_strict	tshr_human	0.4375	False
P1_terminal_strict	us28_hcmva	0.4375	False
P1_terminal_strict	v2r_human	0.40625	False
P1_terminal_strict	xcr1_human	0.421875	False
