i	j	receptor_i	receptor_j	class_i	class_j	same_class	cosine_similarity
5	12	hcar2_human	taar1_mouse	Gi/o	Gq/11	False	-0.16336785737784
5	13	hcar2_human	taar1_mouse	Gi/o	Gs	False	-0.2706026934614084
5	14	hcar2_human	taar9_mouse	Gi/o	Gs	False	-0.031859512035565654
6	7	lpar1_human	lpar1_human	Gi/o	Gq/11	False	0.6789601802662071
6	8	lpar1_human	mrgx2_human	Gi/o	Gi/o	True	0.036582769883792825
6	9	lpar1_human	mrgx2_human	Gi/o	Gq/11	False	-0.0540984632692236
6	10	lpar1_human	oprd_human	Gi/o	Gi/o	True	-0.12054290145796501
6	11	lpar1_human	opsd_bovin	Gi/o	Gi/o	True	-0.019774557152114826
6	12	lpar1_human	taar1_mouse	Gi/o	Gq/11	False	0.023792852773719474
6	13	lpar1_human	taar1_mouse	Gi/o	Gs	False	-0.09063695857997103
6	14	lpar1_human	taar9_mouse	Gi/o	Gs	False	-0.15621989208990728
7	8	lpar1_human	mrgx2_human	Gq/11	Gi/o	False	-0.06689537023076851
7	9	lpar1_human	mrgx2_human	Gq/11	Gq/11	True	0.02504157179497508
7	10	lpar1_human	oprd_human	Gq/11	Gi/o	False	-0.15045039333946472
7	11	lpar1_human	opsd_bovin	Gq/11	Gi/o	False	0.08934637470775428
7	12	lpar1_human	taar1_mouse	Gq/11	Gq/11	True	-0.1319394169337615
7	13	lpar1_human	taar1_mouse	Gq/11	Gs	False	-0.033283484751090386
7	14	lpar1_human	taar9_mouse	Gq/11	Gs	False	0.005088079673150132
8	9	mrgx2_human	mrgx2_human	Gi/o	Gq/11	False	0.07403841605213571
8	10	mrgx2_human	oprd_human	Gi/o	Gi/o	True	-0.3902199302931458
8	11	mrgx2_human	opsd_bovin	Gi/o	Gi/o	True	0.01731731437949347
8	12	mrgx2_human	taar1_mouse	Gi/o	Gq/11	False	0.25928830500232547
8	13	mrgx2_human	taar1_mouse	Gi/o	Gs	False	-0.10061740119389108
8	14	mrgx2_human	taar9_mouse	Gi/o	Gs	False	0.03530518910951289
9	10	mrgx2_human	oprd_human	Gq/11	Gi/o	False	0.2011938696148102
9	11	mrgx2_human	opsd_bovin	Gq/11	Gi/o	False	-0.23600191710149537
9	12	mrgx2_human	taar1_mouse	Gq/11	Gq/11	True	-0.11644971355519924
9	13	mrgx2_human	taar1_mouse	Gq/11	Gs	False	-0.17449469441613236
9	14	mrgx2_human	taar9_mouse	Gq/11	Gs	False	0.12249140024717564
10	11	oprd_human	opsd_bovin	Gi/o	Gi/o	True	-0.08211717742430902
10	12	oprd_human	taar1_mouse	Gi/o	Gq/11	False	-0.14507254781250878
10	13	oprd_human	taar1_mouse	Gi/o	Gs	False	0.03620210236749085
10	14	oprd_human	taar9_mouse	Gi/o	Gs	False	-0.02649299859403282
11	12	opsd_bovin	taar1_mouse	Gi/o	Gq/11	False	-0.09123194928073725
11	13	opsd_bovin	taar1_mouse	Gi/o	Gs	False	-0.1405218970245751
11	14	opsd_bovin	taar9_mouse	Gi/o	Gs	False	0.05298533160928356
12	13	taar1_mouse	taar1_mouse	Gq/11	Gs	False	0.18415917438635676
12	14	taar1_mouse	taar9_mouse	Gq/11	Gs	False	-0.14082697967986996
13	14	taar1_mouse	taar9_mouse	Gs	Gs	True	-0.11448106853639488
