i	j	receptor_i	receptor_j	class_i	class_j	same_class	cosine_similarity
3	16	gp101_human	taar1_mouse	Gs	Gs	True	0.3719478831853926
3	17	gp101_human	taar9_mouse	Gs	Gs	True	-0.22460483364818226
4	5	gpr34_human	hcar2_human	Gi/o	Gi/o	True	-0.04252750303257477
4	6	gpr34_human	hcar3_human	Gi/o	Gi/o	True	0.147613682743847
4	7	gpr34_human	lpar1_human	Gi/o	Gi/o	True	0.21543242739358748
4	8	gpr34_human	lpar1_human	Gi/o	Gq/11	False	-0.0006900215290944244
4	9	gpr34_human	mrgx2_human	Gi/o	Gi/o	True	0.09783418226742109
4	10	gpr34_human	mrgx2_human	Gi/o	Gq/11	False	0.025818295809669538
4	11	gpr34_human	mrgx4_human	Gi/o	Gq/11	False	-0.11294529229028395
4	12	gpr34_human	oprd_human	Gi/o	Gi/o	True	-0.21870585016610466
4	13	gpr34_human	opsd_bovin	Gi/o	Gi/o	True	-0.16363217073277195
4	14	gpr34_human	pe2r3_human	Gi/o	Gi/o	True	0.029618314802350137
4	15	gpr34_human	taar1_mouse	Gi/o	Gq/11	False	0.16047453037711948
4	16	gpr34_human	taar1_mouse	Gi/o	Gs	False	-0.02842332341853379
4	17	gpr34_human	taar9_mouse	Gi/o	Gs	False	-0.14559055131907603
5	6	hcar2_human	hcar3_human	Gi/o	Gi/o	True	-0.02065417682835487
5	7	hcar2_human	lpar1_human	Gi/o	Gi/o	True	0.06643891054863407
5	8	hcar2_human	lpar1_human	Gi/o	Gq/11	False	-0.13232605997542657
5	9	hcar2_human	mrgx2_human	Gi/o	Gi/o	True	0.1000118736843895
5	10	hcar2_human	mrgx2_human	Gi/o	Gq/11	False	0.013255857852748855
5	11	hcar2_human	mrgx4_human	Gi/o	Gq/11	False	-0.21657398305794806
5	12	hcar2_human	oprd_human	Gi/o	Gi/o	True	0.058682293845807795
5	13	hcar2_human	opsd_bovin	Gi/o	Gi/o	True	-0.21241502993195427
5	14	hcar2_human	pe2r3_human	Gi/o	Gi/o	True	0.09326717551903184
5	15	hcar2_human	taar1_mouse	Gi/o	Gq/11	False	-0.1597175921555014
5	16	hcar2_human	taar1_mouse	Gi/o	Gs	False	-0.31014990075455356
5	17	hcar2_human	taar9_mouse	Gi/o	Gs	False	-0.08307714859555658
6	7	hcar3_human	lpar1_human	Gi/o	Gi/o	True	0.010052467107529831
6	8	hcar3_human	lpar1_human	Gi/o	Gq/11	False	-0.016881129306689148
6	9	hcar3_human	mrgx2_human	Gi/o	Gi/o	True	0.034449354681631156
6	10	hcar3_human	mrgx2_human	Gi/o	Gq/11	False	-0.19212840327177835
6	11	hcar3_human	mrgx4_human	Gi/o	Gq/11	False	-0.1530706444998204
6	12	hcar3_human	oprd_human	Gi/o	Gi/o	True	-0.3454788786989059
6	13	hcar3_human	opsd_bovin	Gi/o	Gi/o	True	-0.13288761467019314
6	14	hcar3_human	pe2r3_human	Gi/o	Gi/o	True	0.057708185570365965
6	15	hcar3_human	taar1_mouse	Gi/o	Gq/11	False	-0.0556339864943844
6	16	hcar3_human	taar1_mouse	Gi/o	Gs	False	0.09095169644307692
6	17	hcar3_human	taar9_mouse	Gi/o	Gs	False	-0.12973557450952342
7	8	lpar1_human	lpar1_human	Gi/o	Gq/11	False	0.6363696709191038
7	9	lpar1_human	mrgx2_human	Gi/o	Gi/o	True	0.02009747452864131
7	10	lpar1_human	mrgx2_human	Gi/o	Gq/11	False	-0.06416880171046258
7	11	lpar1_human	mrgx4_human	Gi/o	Gq/11	False	-0.07082428121626475
7	12	lpar1_human	oprd_human	Gi/o	Gi/o	True	-0.14151231552201993
7	13	lpar1_human	opsd_bovin	Gi/o	Gi/o	True	-0.025712276544114423
7	14	lpar1_human	pe2r3_human	Gi/o	Gi/o	True	-0.07876354583272256
7	15	lpar1_human	taar1_mouse	Gi/o	Gq/11	False	0.025950551837835508
7	16	lpar1_human	taar1_mouse	Gi/o	Gs	False	-0.035817731766838064
7	17	lpar1_human	taar9_mouse	Gi/o	Gs	False	-0.1488096900947564
8	9	lpar1_human	mrgx2_human	Gq/11	Gi/o	False	-0.1135541754729007
8	10	lpar1_human	mrgx2_human	Gq/11	Gq/11	True	-0.0034490020054524493
8	11	lpar1_human	mrgx4_human	Gq/11	Gq/11	True	-0.05096593417160326
8	12	lpar1_human	oprd_human	Gq/11	Gi/o	False	-0.16601465208673288
8	13	lpar1_human	opsd_bovin	Gq/11	Gi/o	False	0.07859571230362791
8	14	lpar1_human	pe2r3_human	Gq/11	Gi/o	False	0.034819639375580684
8	15	lpar1_human	taar1_mouse	Gq/11	Gq/11	True	-0.15079093904993826
8	16	lpar1_human	taar1_mouse	Gq/11	Gs	False	0.0013160214205529034
8	17	lpar1_human	taar9_mouse	Gq/11	Gs	False	0.004602583342859232
9	10	mrgx2_human	mrgx2_human	Gi/o	Gq/11	False	-0.08226570114979137
9	11	mrgx2_human	mrgx4_human	Gi/o	Gq/11	False	0.14457487314867826
9	12	mrgx2_human	oprd_human	Gi/o	Gi/o	True	-0.3899818444347387
9	13	mrgx2_human	opsd_bovin	Gi/o	Gi/o	True	0.09635248923834663
9	14	mrgx2_human	pe2r3_human	Gi/o	Gi/o	True	-0.025686776162342228
9	15	mrgx2_human	taar1_mouse	Gi/o	Gq/11	False	0.21247658528549868
9	16	mrgx2_human	taar1_mouse	Gi/o	Gs	False	-0.07252300204192683
9	17	mrgx2_human	taar9_mouse	Gi/o	Gs	False	-0.0029331373150881202
10	11	mrgx2_human	mrgx4_human	Gq/11	Gq/11	True	0.25469957790322245
10	12	mrgx2_human	oprd_human	Gq/11	Gi/o	False	0.20347489755038373
10	13	mrgx2_human	opsd_bovin	Gq/11	Gi/o	False	-0.23823086375145003
10	14	mrgx2_human	pe2r3_human	Gq/11	Gi/o	False	0.14718443639639345
10	15	mrgx2_human	taar1_mouse	Gq/11	Gq/11	True	-0.1735402336667632
10	16	mrgx2_human	taar1_mouse	Gq/11	Gs	False	-0.17447705401468783
10	17	mrgx2_human	taar9_mouse	Gq/11	Gs	False	0.0313815081926273
11	12	mrgx4_human	oprd_human	Gq/11	Gi/o	False	0.07147668368918433
11	13	mrgx4_human	opsd_bovin	Gq/11	Gi/o	False	-0.04841357685321654
11	14	mrgx4_human	pe2r3_human	Gq/11	Gi/o	False	-0.009262840629516435
11	15	mrgx4_human	taar1_mouse	Gq/11	Gq/11	True	0.12908288362855447
11	16	mrgx4_human	taar1_mouse	Gq/11	Gs	False	-0.256818570463898
11	17	mrgx4_human	taar9_mouse	Gq/11	Gs	False	0.08653623050496277
12	13	oprd_human	opsd_bovin	Gi/o	Gi/o	True	-0.05600312435286933
12	14	oprd_human	pe2r3_human	Gi/o	Gi/o	True	-0.020466670734658608
12	15	oprd_human	taar1_mouse	Gi/o	Gq/11	False	-0.12934805190173193
12	16	oprd_human	taar1_mouse	Gi/o	Gs	False	0.060342322896526766
12	17	oprd_human	taar9_mouse	Gi/o	Gs	False	0.01116027786151047
13	14	opsd_bovin	pe2r3_human	Gi/o	Gi/o	True	-0.012235085931576871
13	15	opsd_bovin	taar1_mouse	Gi/o	Gq/11	False	-0.04506287045558523
13	16	opsd_bovin	taar1_mouse	Gi/o	Gs	False	-0.07575615080502551
13	17	opsd_bovin	taar9_mouse	Gi/o	Gs	False	0.11009089168295934
14	15	pe2r3_human	taar1_mouse	Gi/o	Gq/11	False	-0.2265514566391129
14	16	pe2r3_human	taar1_mouse	Gi/o	Gs	False	-0.18195960109353135
14	17	pe2r3_human	taar9_mouse	Gi/o	Gs	False	0.001129765803062078
15	16	taar1_mouse	taar1_mouse	Gq/11	Gs	False	0.20355877564061733
15	17	taar1_mouse	taar9_mouse	Gq/11	Gs	False	-0.18596038068202098
16	17	taar1_mouse	taar9_mouse	Gs	Gs	True	-0.10624777008479719
