population	pdb_id	receptor_name	chain_id	experimental_method	resolution	original_activation_state	original_ligand_type	fusion_protein	fusion_names	cif_title	emdb_ids	em_sample_name	em_particles	citation_title	citation_doi	provenance_status	state_status	final_eligibility	reason	evidence_url	local_evidence	paired_full_complex_pdb	paired_full_complex_particles	exact_particle_count_match_to_full_complex	paired_full_complex_title	pair_evidence_note
ligand_permissive_58	6FK6	opsd_bovin	A	X-ray diffraction	2.36	active	agonist	False		Crystal structure of N2C/D282C stabilized opsin bound to RS01				Ligand channel in pharmacologically stabilized rhodopsin.	10.1073/pnas.1718084115	eligible_genuine_partner_free	active_or_active_like	True	Pharmacologically stabilised opsin crystal; small-molecule ligand, no intracellular transducer.	https://www.rcsb.org/structure/6FK6	Deposited mmCIF _struct.title/_em_entity_assembly.name/_em_3d_reconstruction.num_particles where available					
ligand_permissive_58	6FK7	opsd_bovin	A	X-ray diffraction	2.62	active	agonist	False		Crystal structure of N2C/D282C stabilized opsin bound to RS06				Ligand channel in pharmacologically stabilized rhodopsin.	10.1073/pnas.1718084115	eligible_genuine_partner_free	active_or_active_like	True	Pharmacologically stabilised opsin crystal; small-molecule ligand, no intracellular transducer.	https://www.rcsb.org/structure/6FK7	Deposited mmCIF _struct.title/_em_entity_assembly.name/_em_3d_reconstruction.num_particles where available					
ligand_permissive_58	6FK8	opsd_bovin	A	X-ray diffraction	2.87	active	agonist	False		Crystal structure of N2C/D282C stabilized opsin bound to RS08				Ligand channel in pharmacologically stabilized rhodopsin.	10.1073/pnas.1718084115	eligible_genuine_partner_free	active_or_active_like	True	Pharmacologically stabilised opsin crystal; small-molecule ligand, no intracellular transducer.	https://www.rcsb.org/structure/6FK8	Deposited mmCIF _struct.title/_em_entity_assembly.name/_em_3d_reconstruction.num_particles where available					
ligand_permissive_58	6FK9	opsd_bovin	A	X-ray diffraction	2.63	active	agonist	False		Crystal structure of N2C/D282C stabilized opsin bound to RS09				Ligand channel in pharmacologically stabilized rhodopsin.	10.1073/pnas.1718084115	eligible_genuine_partner_free	active_or_active_like	True	Pharmacologically stabilised opsin crystal; small-molecule ligand, no intracellular transducer.	https://www.rcsb.org/structure/6FK9	Deposited mmCIF _struct.title/_em_entity_assembly.name/_em_3d_reconstruction.num_particles where available					
ligand_permissive_58	6FKA	opsd_bovin	A	X-ray diffraction	2.7	active	agonist	False		Crystal structure of N2C/D282C stabilized opsin bound to RS11				Ligand channel in pharmacologically stabilized rhodopsin.	10.1073/pnas.1718084115	eligible_genuine_partner_free	active_or_active_like	True	Pharmacologically stabilised opsin crystal; small-molecule ligand, no intracellular transducer.	https://www.rcsb.org/structure/6FKA	Deposited mmCIF _struct.title/_em_entity_assembly.name/_em_3d_reconstruction.num_particles where available					
ligand_permissive_58	6FKB	opsd_bovin	A	X-ray diffraction	3.03	active	agonist	False		Crystal structure of N2C/D282C stabilized opsin bound to RS13				Ligand channel in pharmacologically stabilized rhodopsin.	10.1073/pnas.1718084115	eligible_genuine_partner_free	active_or_active_like	True	Pharmacologically stabilised opsin crystal; small-molecule ligand, no intracellular transducer.	https://www.rcsb.org/structure/6FKB	Deposited mmCIF _struct.title/_em_entity_assembly.name/_em_3d_reconstruction.num_particles where available					
ligand_permissive_58	6FKC	opsd_bovin	A	X-ray diffraction	2.46	active	agonist	False		Crystal structure of N2C/D282C stabilized opsin bound to RS15				Ligand channel in pharmacologically stabilized rhodopsin.	10.1073/pnas.1718084115	eligible_genuine_partner_free	active_or_active_like	True	Pharmacologically stabilised opsin crystal; small-molecule ligand, no intracellular transducer.	https://www.rcsb.org/structure/6FKC	Deposited mmCIF _struct.title/_em_entity_assembly.name/_em_3d_reconstruction.num_particles where available					
ligand_permissive_58	6FKD	opsd_bovin	A	X-ray diffraction	2.49	active	agonist	False		Crystal structure of N2C/D282C stabilized opsin bound to RS16				Ligand channel in pharmacologically stabilized rhodopsin.	10.1073/pnas.1718084115	eligible_genuine_partner_free	active_or_active_like	True	Pharmacologically stabilised opsin crystal; small-molecule ligand, no intracellular transducer.	https://www.rcsb.org/structure/6FKD	Deposited mmCIF _struct.title/_em_entity_assembly.name/_em_3d_reconstruction.num_particles where available					
ligand_permissive_58	6PT2	oprd_human	A	X-ray diffraction	2.8	active	agonist	False								eligible_genuine_partner_free_ligand_permissive	active	True	Active DOP crystal with extracellular peptide agonist KGCHM07; no intracellular transducer.	https://www.rcsb.org/structure/6PT2	Deposited mmCIF _struct.title/_em_entity_assembly.name/_em_3d_reconstruction.num_particles where available					
ligand_permissive_58	6PT3	oprd_human	A	X-ray diffraction	3.3	active	agonist	False								eligible_genuine_partner_free	active	True	Active DOP crystal with small-molecule agonist DPI-287; no intracellular transducer.	https://www.rcsb.org/structure/6PT3	Deposited mmCIF _struct.title/_em_entity_assembly.name/_em_3d_reconstruction.num_particles where available					
ligand_permissive_58	7VV0	mrgx2_human	R	Electron microscopy	3.5	active	agonist	False		Cryo-EM structure of pseudoallergen receptor MRGPRX2 complex with PAMP-12, local	EMD-32133	Cryo-EM structure of pseudoallergen receptor MRGPRX2 complex with PAMP-12, local	978001	Structure, function and pharmacology of human itch receptor complexes.	10.1038/s41586-021-04077-y	exclude_transducer_conditioned_focus	active	False	MRGPRX2 local receptor reconstruction from receptor-complex cryo-EM study.	https://www.rcsb.org/structure/7VV0	Deposited mmCIF _struct.title/_em_entity_assembly.name/_em_3d_reconstruction.num_particles where available					
ligand_permissive_58	7VV4	mrgx2_human	R	Electron microscopy	2.97	active	agonist	False		Cryo-EM structure of pseudoallergen receptor MRGPRX2 complex with linear cortistatin-14, local	EMD-32137	Cryo-EM structure of pseudoallergen receptor MRGPRX2 complex with linear cortistatin-14, local	303343	Structure, function and pharmacology of human itch receptor complexes.	10.1038/s41586-021-04077-y	exclude_transducer_conditioned_focus	active	False	MRGPRX2 local receptor reconstruction; particle count matches full complex entry 7VV3.	https://www.rcsb.org/structure/7VV4	Deposited mmCIF _struct.title/_em_entity_assembly.name/_em_3d_reconstruction.num_particles where available	7VV3	303343	True	Cryo-EM structure of pseudoallergen receptor MRGPRX2 complex with linear cortistatin-14	MRGPRX2 local vs Gi complex
ligand_permissive_58	7VV6	mrgx2_human	R	Electron microscopy	3.3	active	agonist	False		Cryo-EM structure of pseudoallergen receptor MRGPRX2 complex with C48/80 (local)	EMD-32139	Cryo-EM structure of pseudoallergen receptor MRGPRX2 complex with C48/80 (local)	587441	Structure, function and pharmacology of human itch receptor complexes.	10.1038/s41586-021-04077-y	exclude_transducer_conditioned_focus	active	False	MRGPRX2 receptor local reconstruction from a receptor-complex cryo-EM study; not an independent partner-free specimen.	https://www.rcsb.org/structure/7VV6	Deposited mmCIF _struct.title/_em_entity_assembly.name/_em_3d_reconstruction.num_particles where available					
ligand_permissive_58	7YU4	lpar1_human	A	Electron microscopy	3.3	active	agonist	False		Human Lysophosphatidic Acid Receptor 1-Gi complex bound to ONO-0740556, focused on receptor	EMD-34098	Human Lysophosphatidic Acid Receptor 1 bound to ONO-0740556	181071	Structure of the active G i -coupled human lysophosphatidic acid receptor 1 complexed with a potent agonist.	10.1038/s41467-022-33121-2	exclude_transducer_conditioned_focus	active	False	PDB title explicitly identifies LPA1-Gi complex focused on receptor.	https://www.rcsb.org/structure/7YU4	Deposited mmCIF _struct.title/_em_entity_assembly.name/_em_3d_reconstruction.num_particles where available					
ligand_permissive_58	8EA0	acm3_human	A	Electron microscopy	2.56	active	agonist	False		CryoEM structure of miniGq-coupled hM3R in complex with iperoxo (local refinement)	EMD-27970	hM3R	591814	Molecular basis for selective activation of DREADD-based chemogenetics.	10.1038/s41586-022-05489-0	exclude_transducer_conditioned_focus	active	False	PDB title explicitly identifies miniGq-coupled M3 receptor local refinement.	https://www.rcsb.org/structure/8EA0	Deposited mmCIF _struct.title/_em_entity_assembly.name/_em_3d_reconstruction.num_particles where available					
ligand_permissive_58	8GGI	adrb2_human	R	Electron microscopy	3.5	active	agonist	False		Locally refined cryoEM structure of receptor from beta-2-adrenergic receptor in complex with GTP-bound Gs heterotrimer (transition intermediate #1 of 20)	EMD-40009	Complex of beta-2 adrenergic receptor and Gs heterotrimer with GTP	51197	Time-resolved cryo-EM of G-protein activation by a GPCR.	10.1038/s41586-024-07153-1	exclude_transducer_conditioned_focus	active	False	PDB title explicitly states locally refined receptor from beta2AR-Gs complex transition intermediate.	https://www.rcsb.org/structure/8GGI	Deposited mmCIF _struct.title/_em_entity_assembly.name/_em_3d_reconstruction.num_particles where available					
ligand_permissive_58	8GGJ	adrb2_human	R	Electron microscopy	3.5	active	agonist	False		Locally refined cryoEM structure of receptor from beta-2-adrenergic receptor in complex with GTP-bound Gs heterotrimer (transition intermediate #2 of 20)	EMD-40010	Complex of beta-2 adrenergic receptor and Gs heterotrimer with GTP	51197	Time-resolved cryo-EM of G-protein activation by a GPCR.	10.1038/s41586-024-07153-1	exclude_transducer_conditioned_focus	active	False	PDB title explicitly states locally refined receptor from beta2AR-Gs complex transition intermediate.	https://www.rcsb.org/structure/8GGJ	Deposited mmCIF _struct.title/_em_entity_assembly.name/_em_3d_reconstruction.num_particles where available					
ligand_permissive_58	8GGK	adrb2_human	R	Electron microscopy	3.3	active	agonist	False		Locally refined cryoEM structure of receptor from beta-2-adrenergic receptor in complex with GTP-bound Gs heterotrimer (transition intermediate #3 of 20)	EMD-40011	Complex of beta-2 adrenergic receptor and Gs heterotrimer with GTP	99517	Time-resolved cryo-EM of G-protein activation by a GPCR.	10.1038/s41586-024-07153-1	exclude_transducer_conditioned_focus	active	False	PDB title explicitly states locally refined receptor from beta2AR-Gs complex transition intermediate.	https://www.rcsb.org/structure/8GGK	Deposited mmCIF _struct.title/_em_entity_assembly.name/_em_3d_reconstruction.num_particles where available					
ligand_permissive_58	8GGL	adrb2_human	R	Electron microscopy	3.2	active	agonist	False		Locally refined cryoEM structure of receptor from beta-2-adrenergic receptor in complex with GTP-bound Gs heterotrimer (transition intermediate #4 of 20)	EMD-40012	Complex of beta-2 adrenergic receptor and Gs heterotrimer with GTP	129936	Time-resolved cryo-EM of G-protein activation by a GPCR.	10.1038/s41586-024-07153-1	exclude_transducer_conditioned_focus	active	False	PDB title explicitly states locally refined receptor from beta2AR-Gs complex transition intermediate.	https://www.rcsb.org/structure/8GGL	Deposited mmCIF _struct.title/_em_entity_assembly.name/_em_3d_reconstruction.num_particles where available					
ligand_permissive_58	8GGM	adrb2_human	R	Electron microscopy	3.2	active	agonist	False		Locally refined cryoEM structure of receptor from beta-2-adrenergic receptor in complex with GTP-bound Gs heterotrimer (transition intermediate #5 of 20)	EMD-40013	Complex of beta-2 adrenergic receptor and Gs heterotrimer with GTP	162454	Time-resolved cryo-EM of G-protein activation by a GPCR.	10.1038/s41586-024-07153-1	exclude_transducer_conditioned_focus	active	False	PDB title explicitly states locally refined receptor from beta2AR-Gs complex transition intermediate.	https://www.rcsb.org/structure/8GGM	Deposited mmCIF _struct.title/_em_entity_assembly.name/_em_3d_reconstruction.num_particles where available					
ligand_permissive_58	8GGN	adrb2_human	R	Electron microscopy	3.3	active	agonist	False		Locally refined cryoEM structure of receptor from beta-2-adrenergic receptor in complex with GTP-bound Gs heterotrimer (transition intermediate #6 of 20)	EMD-40014	Complex of beta-2 adrenergic receptor and Gs heterotrimer with GTP	193858	Time-resolved cryo-EM of G-protein activation by a GPCR.	10.1038/s41586-024-07153-1	exclude_transducer_conditioned_focus	active	False	PDB title explicitly states locally refined receptor from beta2AR-Gs complex transition intermediate.	https://www.rcsb.org/structure/8GGN	Deposited mmCIF _struct.title/_em_entity_assembly.name/_em_3d_reconstruction.num_particles where available					
ligand_permissive_58	8GGO	adrb2_human	R	Electron microscopy	3.2	active	agonist	False		Locally refined cryoEM structure of receptor from beta-2-adrenergic receptor in complex with GTP-bound Gs heterotrimer (transition intermediate #7 of 20)	EMD-40015	Complex of beta-2 adrenergic receptor and Gs heterotrimer with GTP	221239	Time-resolved cryo-EM of G-protein activation by a GPCR.	10.1038/s41586-024-07153-1	exclude_transducer_conditioned_focus	active	False	PDB title explicitly states locally refined receptor from beta2AR-Gs complex transition intermediate.	https://www.rcsb.org/structure/8GGO	Deposited mmCIF _struct.title/_em_entity_assembly.name/_em_3d_reconstruction.num_particles where available					
ligand_permissive_58	8GGP	adrb2_human	R	Electron microscopy	3.2	active	agonist	False		Locally refined cryoEM structure of receptor from beta-2-adrenergic receptor in complex with GTP-bound Gs heterotrimer (transition intermediate #8 of 20)	EMD-40016	Complex of beta-2 adrenergic receptor and Gs heterotrimer with GTP	241817	Time-resolved cryo-EM of G-protein activation by a GPCR.	10.1038/s41586-024-07153-1	exclude_transducer_conditioned_focus	active	False	PDB title explicitly states locally refined receptor from beta2AR-Gs complex transition intermediate.	https://www.rcsb.org/structure/8GGP	Deposited mmCIF _struct.title/_em_entity_assembly.name/_em_3d_reconstruction.num_particles where available					
ligand_permissive_58	8GGQ	adrb2_human	R	Electron microscopy	3.4	active	agonist	False		Locally refined cryoEM structure of receptor from beta-2-adrenergic receptor in complex with GTP-bound Gs heterotrimer (transition intermediate #9 of 20)	EMD-40017	Complex of beta-2 adrenergic receptor and Gs heterotrimer with GTP	253213	Time-resolved cryo-EM of G-protein activation by a GPCR.	10.1038/s41586-024-07153-1	exclude_transducer_conditioned_focus	active	False	PDB title explicitly states locally refined receptor from beta2AR-Gs complex transition intermediate.	https://www.rcsb.org/structure/8GGQ	Deposited mmCIF _struct.title/_em_entity_assembly.name/_em_3d_reconstruction.num_particles where available					
ligand_permissive_58	8GGR	adrb2_human	R	Electron microscopy	3.4	active	agonist	False		Locally refined cryoEM structure of receptor from beta-2-adrenergic receptor in complex with GTP-bound Gs heterotrimer (transition intermediate #10 of 20)	EMD-40018	Complex of beta-2 adrenergic receptor and Gs heterotrimer with GTP	255657	Time-resolved cryo-EM of G-protein activation by a GPCR.	10.1038/s41586-024-07153-1	exclude_transducer_conditioned_focus	active	False	PDB title explicitly states locally refined receptor from beta2AR-Gs complex transition intermediate.	https://www.rcsb.org/structure/8GGR	Deposited mmCIF _struct.title/_em_entity_assembly.name/_em_3d_reconstruction.num_particles where available					
ligand_permissive_58	8GGS	adrb2_human	R	Electron microscopy	3.5	active	agonist	False		Locally refined cryoEM structure of receptor from beta-2-adrenergic receptor in complex with GTP-bound Gs heterotrimer (transition intermediate #11 of 20)	EMD-40019	Complex of beta-2 adrenergic receptor and Gs heterotrimer with GTP	248894	Time-resolved cryo-EM of G-protein activation by a GPCR.	10.1038/s41586-024-07153-1	exclude_transducer_conditioned_focus	active	False	PDB title explicitly states locally refined receptor from beta2AR-Gs complex transition intermediate.	https://www.rcsb.org/structure/8GGS	Deposited mmCIF _struct.title/_em_entity_assembly.name/_em_3d_reconstruction.num_particles where available					
ligand_permissive_58	8GGT	adrb2_human	R	Electron microscopy	3.5	active	agonist	False		Locally refined cryoEM structure of receptor from beta-2-adrenergic receptor in complex with GTP-bound Gs heterotrimer (transition intermediate #12 of 20)	EMD-40020	Complex of beta-2 adrenergic receptor and Gs heterotrimer with GTP	234058	Time-resolved cryo-EM of G-protein activation by a GPCR.	10.1038/s41586-024-07153-1	exclude_transducer_conditioned_focus	active	False	PDB title explicitly states locally refined receptor from beta2AR-Gs complex transition intermediate.	https://www.rcsb.org/structure/8GGT	Deposited mmCIF _struct.title/_em_entity_assembly.name/_em_3d_reconstruction.num_particles where available					
ligand_permissive_58	8GGU	adrb2_human	R	Electron microscopy	3.4	active	agonist	False		Locally refined cryoEM structure of receptor from beta-2-adrenergic receptor in complex with GTP-bound Gs heterotrimer (transition intermediate #13 of 20)	EMD-40021	Complex of beta-2 adrenergic receptor and Gs heterotrimer with GTP	213773	Time-resolved cryo-EM of G-protein activation by a GPCR.	10.1038/s41586-024-07153-1	exclude_transducer_conditioned_focus	active	False	PDB title explicitly states locally refined receptor from beta2AR-Gs complex transition intermediate.	https://www.rcsb.org/structure/8GGU	Deposited mmCIF _struct.title/_em_entity_assembly.name/_em_3d_reconstruction.num_particles where available					
ligand_permissive_58	8GGV	adrb2_human	R	Electron microscopy	3.5	active	agonist	False		Locally refined cryoEM structure of receptor from beta-2-adrenergic receptor in complex with GTP-bound Gs heterotrimer (transition intermediate #14 of 20)	EMD-40022	Complex of beta-2 adrenergic receptor and Gs heterotrimer with GTP	189864	Time-resolved cryo-EM of G-protein activation by a GPCR.	10.1038/s41586-024-07153-1	exclude_transducer_conditioned_focus	active	False	PDB title explicitly states locally refined receptor from beta2AR-Gs complex transition intermediate.	https://www.rcsb.org/structure/8GGV	Deposited mmCIF _struct.title/_em_entity_assembly.name/_em_3d_reconstruction.num_particles where available					
ligand_permissive_58	8GGW	adrb2_human	R	Electron microscopy	3.6	active	agonist	False		Locally refined cryoEM structure of receptor from beta-2-adrenergic receptor in complex with GTP-bound Gs heterotrimer (transition intermediate #15 of 20)	EMD-40023	Complex of beta-2 adrenergic receptor and Gs heterotrimer with GTP	164153	Time-resolved cryo-EM of G-protein activation by a GPCR.	10.1038/s41586-024-07153-1	exclude_transducer_conditioned_focus	active	False	PDB title explicitly states locally refined receptor from beta2AR-Gs complex transition intermediate.	https://www.rcsb.org/structure/8GGW	Deposited mmCIF _struct.title/_em_entity_assembly.name/_em_3d_reconstruction.num_particles where available					
ligand_permissive_58	8GGX	adrb2_human	R	Electron microscopy	3.6	active	agonist	False		Locally refined cryoEM structure of receptor from beta-2-adrenergic receptor in complex with GTP-bound Gs heterotrimer (transition intermediate #16 of 20)	EMD-40024	Complex of beta-2 adrenergic receptor and Gs heterotrimer with GTP	138568	Time-resolved cryo-EM of G-protein activation by a GPCR.	10.1038/s41586-024-07153-1	exclude_transducer_conditioned_focus	active	False	PDB title explicitly states locally refined receptor from beta2AR-Gs complex transition intermediate.	https://www.rcsb.org/structure/8GGX	Deposited mmCIF _struct.title/_em_entity_assembly.name/_em_3d_reconstruction.num_particles where available					
ligand_permissive_58	8GGY	adrb2_human	R	Electron microscopy	3.9	active	agonist	False		Locally refined cryoEM structure of receptor from beta-2-adrenergic receptor in complex with GTP-bound Gs heterotrimer (transition intermediate #17 of 20)	EMD-40025	Complex of beta-2 adrenergic receptor and Gs heterotrimer with GTP	112826	Time-resolved cryo-EM of G-protein activation by a GPCR.	10.1038/s41586-024-07153-1	exclude_transducer_conditioned_focus	active	False	PDB title explicitly states locally refined receptor from beta2AR-Gs complex transition intermediate.	https://www.rcsb.org/structure/8GGY	Deposited mmCIF _struct.title/_em_entity_assembly.name/_em_3d_reconstruction.num_particles where available					
ligand_permissive_58	8GGZ	adrb2_human	R	Electron microscopy	3.9	active	agonist	False		Locally refined cryoEM structure of receptor from beta-2-adrenergic receptor in complex with GTP-bound Gs heterotrimer (transition intermediate #18 of 20)	EMD-40026	Complex of beta-2 adrenergic receptor and Gs heterotrimer with GTP	88436	Time-resolved cryo-EM of G-protein activation by a GPCR.	10.1038/s41586-024-07153-1	exclude_transducer_conditioned_focus	active	False	PDB title explicitly states locally refined receptor from beta2AR-Gs complex transition intermediate.	https://www.rcsb.org/structure/8GGZ	Deposited mmCIF _struct.title/_em_entity_assembly.name/_em_3d_reconstruction.num_particles where available					
ligand_permissive_58	8GH0	adrb2_human	R	Electron microscopy	4.0	active	agonist	False		Locally refined cryoEM structure of receptor from beta-2-adrenergic receptor in complex with GTP-bound Gs heterotrimer (transition intermediate #19 of 20)	EMD-40027	Complex of beta-2 adrenergic receptor and Gs heterotrimer with GTP	66678	Time-resolved cryo-EM of G-protein activation by a GPCR.	10.1038/s41586-024-07153-1	exclude_transducer_conditioned_focus	active	False	PDB title explicitly states locally refined receptor from beta2AR-Gs complex transition intermediate.	https://www.rcsb.org/structure/8GH0	Deposited mmCIF _struct.title/_em_entity_assembly.name/_em_3d_reconstruction.num_particles where available					
ligand_permissive_58	8GH1	adrb2_human	R	Electron microscopy	4.1	active	agonist	False		Locally refined cryoEM structure of receptor from beta-2-adrenergic receptor in complex with GTP-bound Gs heterotrimer (transition intermediate #20 of 20)	EMD-40028	Complex of beta-2 adrenergic receptor and Gs heterotrimer with GTP	47951	Time-resolved cryo-EM of G-protein activation by a GPCR.	10.1038/s41586-024-07153-1	exclude_transducer_conditioned_focus	active	False	PDB title explicitly states locally refined receptor from beta2AR-Gs complex transition intermediate.	https://www.rcsb.org/structure/8GH1	Deposited mmCIF _struct.title/_em_entity_assembly.name/_em_3d_reconstruction.num_particles where available					
ligand_permissive_58	8IWE	taar9_mouse	R	Electron microscopy	3.4	active	agonist	False		Cryo-EM structure of the SPE-mTAAR9 complex	EMD-35765	Cryo-EM structure of the SPE-bound mTAAR9 complex	193217	Structural basis of amine odorant perception by a mammal olfactory receptor.	10.1038/s41586-023-06106-4	exclude_transducer_conditioned_focus	active	False	Receptor-focused TAAR9 reconstruction; particle count matches SPE-mTAAR9-Gs full-complex entry 8IW4.	https://doi.org/10.1038/s41586-023-06106-4	Deposited mmCIF _struct.title/_em_entity_assembly.name/_em_3d_reconstruction.num_particles where available	8IW4	193217	True	Cryo-EM structure of the SPE-bound mTAAR9-Gs complex	TAAR9 receptor-focused vs Gs complex
ligand_permissive_58	8IWM	taar9_mouse	R	Electron microscopy	3.17	active	agonist	False		Cryo-EM structure of the PEA-bound mTAAR9 complex	EMD-35771	Cryo-EM structure of the PEA-bound mTAAR9  complex	463012	Structural basis of amine odorant perception by a mammal olfactory receptor.	10.1038/s41586-023-06106-4	exclude_transducer_conditioned_focus	active	False	Receptor-focused TAAR9 reconstruction; particle count matches PEA-mTAAR9-Gs full-complex entry 8IW7.	https://doi.org/10.1038/s41586-023-06106-4	Deposited mmCIF _struct.title/_em_entity_assembly.name/_em_3d_reconstruction.num_particles where available	8IW7	463012	True	Cryo-EM structure of the PEA-bound mTAAR9-Gs complex	TAAR9 receptor-focused vs Gs complex
ligand_permissive_58	8IY6	ednrb_human	R	Electron microscopy	3.13	active	agonist	False		ETB-Gi complex bound to Endotheline-1, focused on receptor	EMD-35815	Complex of Endothelin-1, ETB, and Gi	260085	Cryo-EM structure of the endothelin-1-ET B -G i complex.	10.7554/eLife.85821	exclude_transducer_conditioned_focus	active	False	PDB/EMDB sample is Endothelin-1-ETB-Gi complex, focused on receptor.	https://www.rcsb.org/structure/8IY6	Deposited mmCIF _struct.title/_em_entity_assembly.name/_em_3d_reconstruction.num_particles where available					
