population	pdb_id	receptor_name	chain_id	experimental_method	resolution	original_activation_state	original_ligand_type	fusion_protein	fusion_names	cif_title	emdb_ids	em_sample_name	em_particles	citation_title	citation_doi	provenance_status	state_status	final_eligibility	reason	evidence_url	local_evidence	paired_full_complex_pdb	paired_full_complex_particles	exact_particle_count_match_to_full_complex	paired_full_complex_title	pair_evidence_note
ligand_permissive_58	6FK6	opsd_bovin	A	X-ray diffraction	2.36	active	agonist	False		Crystal structure of N2C/D282C stabilized opsin bound to RS01				Ligand channel in pharmacologically stabilized rhodopsin.	10.1073/pnas.1718084115	eligible_genuine_partner_free	active_or_active_like	True	Pharmacologically stabilised opsin crystal; small-molecule ligand, no intracellular transducer.	https://www.rcsb.org/structure/6FK6	Deposited mmCIF _struct.title/_em_entity_assembly.name/_em_3d_reconstruction.num_particles where available					
ligand_permissive_58	6FK7	opsd_bovin	A	X-ray diffraction	2.62	active	agonist	False		Crystal structure of N2C/D282C stabilized opsin bound to RS06				Ligand channel in pharmacologically stabilized rhodopsin.	10.1073/pnas.1718084115	eligible_genuine_partner_free	active_or_active_like	True	Pharmacologically stabilised opsin crystal; small-molecule ligand, no intracellular transducer.	https://www.rcsb.org/structure/6FK7	Deposited mmCIF _struct.title/_em_entity_assembly.name/_em_3d_reconstruction.num_particles where available					
ligand_permissive_58	6FK8	opsd_bovin	A	X-ray diffraction	2.87	active	agonist	False		Crystal structure of N2C/D282C stabilized opsin bound to RS08				Ligand channel in pharmacologically stabilized rhodopsin.	10.1073/pnas.1718084115	eligible_genuine_partner_free	active_or_active_like	True	Pharmacologically stabilised opsin crystal; small-molecule ligand, no intracellular transducer.	https://www.rcsb.org/structure/6FK8	Deposited mmCIF _struct.title/_em_entity_assembly.name/_em_3d_reconstruction.num_particles where available					
ligand_permissive_58	6FK9	opsd_bovin	A	X-ray diffraction	2.63	active	agonist	False		Crystal structure of N2C/D282C stabilized opsin bound to RS09				Ligand channel in pharmacologically stabilized rhodopsin.	10.1073/pnas.1718084115	eligible_genuine_partner_free	active_or_active_like	True	Pharmacologically stabilised opsin crystal; small-molecule ligand, no intracellular transducer.	https://www.rcsb.org/structure/6FK9	Deposited mmCIF _struct.title/_em_entity_assembly.name/_em_3d_reconstruction.num_particles where available					
ligand_permissive_58	6FKA	opsd_bovin	A	X-ray diffraction	2.7	active	agonist	False		Crystal structure of N2C/D282C stabilized opsin bound to RS11				Ligand channel in pharmacologically stabilized rhodopsin.	10.1073/pnas.1718084115	eligible_genuine_partner_free	active_or_active_like	True	Pharmacologically stabilised opsin crystal; small-molecule ligand, no intracellular transducer.	https://www.rcsb.org/structure/6FKA	Deposited mmCIF _struct.title/_em_entity_assembly.name/_em_3d_reconstruction.num_particles where available					
ligand_permissive_58	6FKB	opsd_bovin	A	X-ray diffraction	3.03	active	agonist	False		Crystal structure of N2C/D282C stabilized opsin bound to RS13				Ligand channel in pharmacologically stabilized rhodopsin.	10.1073/pnas.1718084115	eligible_genuine_partner_free	active_or_active_like	True	Pharmacologically stabilised opsin crystal; small-molecule ligand, no intracellular transducer.	https://www.rcsb.org/structure/6FKB	Deposited mmCIF _struct.title/_em_entity_assembly.name/_em_3d_reconstruction.num_particles where available					
ligand_permissive_58	6FKC	opsd_bovin	A	X-ray diffraction	2.46	active	agonist	False		Crystal structure of N2C/D282C stabilized opsin bound to RS15				Ligand channel in pharmacologically stabilized rhodopsin.	10.1073/pnas.1718084115	eligible_genuine_partner_free	active_or_active_like	True	Pharmacologically stabilised opsin crystal; small-molecule ligand, no intracellular transducer.	https://www.rcsb.org/structure/6FKC	Deposited mmCIF _struct.title/_em_entity_assembly.name/_em_3d_reconstruction.num_particles where available					
ligand_permissive_58	6FKD	opsd_bovin	A	X-ray diffraction	2.49	active	agonist	False		Crystal structure of N2C/D282C stabilized opsin bound to RS16				Ligand channel in pharmacologically stabilized rhodopsin.	10.1073/pnas.1718084115	eligible_genuine_partner_free	active_or_active_like	True	Pharmacologically stabilised opsin crystal; small-molecule ligand, no intracellular transducer.	https://www.rcsb.org/structure/6FKD	Deposited mmCIF _struct.title/_em_entity_assembly.name/_em_3d_reconstruction.num_particles where available					
ligand_permissive_58	6PT2	oprd_human	A	X-ray diffraction	2.8	active	agonist	False								eligible_genuine_partner_free_ligand_permissive	active	True	Active DOP crystal with extracellular peptide agonist KGCHM07; no intracellular transducer.	https://www.rcsb.org/structure/6PT2	Deposited mmCIF _struct.title/_em_entity_assembly.name/_em_3d_reconstruction.num_particles where available					
ligand_permissive_58	6PT3	oprd_human	A	X-ray diffraction	3.3	active	agonist	False								eligible_genuine_partner_free	active	True	Active DOP crystal with small-molecule agonist DPI-287; no intracellular transducer.	https://www.rcsb.org/structure/6PT3	Deposited mmCIF _struct.title/_em_entity_assembly.name/_em_3d_reconstruction.num_particles where available					
