population	pdb_id	receptor_name	chain_id	experimental_method	resolution	original_activation_state	original_ligand_type	fusion_protein	fusion_names	cif_title	emdb_ids	em_sample_name	em_particles	citation_title	citation_doi	provenance_status	state_status	final_eligibility	reason	evidence_url	local_evidence	paired_full_complex_pdb	paired_full_complex_particles	exact_particle_count_match_to_full_complex	paired_full_complex_title	pair_evidence_note
terminal_ligand_permissive_P1_59	3PXO	opsd_bovin	A	X-ray diffraction	3.0		agonist	False		Crystal structure of Metarhodopsin II				Crystal structure of metarhodopsin II.	10.1038/nature09789	eligible_genuine_partner_free	active_or_active_like	True	Metarhodopsin II-alone crystal; related peptide-bound structure is a separate PDB entry.	https://www.rcsb.org/structure/3PXO	Deposited mmCIF _struct.title/_em_entity_assembly.name/_em_3d_reconstruction.num_particles where available					
terminal_ligand_permissive_P1_59	4BEZ	opsd_bovin	A	X-ray diffraction	3.3		apo	False		Night blindness causing G90D rhodopsin in the active conformation				Insights Into Congenital Stationary Night Blindness Based on the Structure of G90D Rhodopsin.	10.1038/EMBOR.2013.44	eligible_genuine_partner_free	active_or_active_like	True	G90D rhodopsin active-conformation crystal; no intracellular transducer.	https://www.rcsb.org/structure/4BEZ	Deposited mmCIF _struct.title/_em_entity_assembly.name/_em_3d_reconstruction.num_particles where available					
terminal_ligand_permissive_P1_59	5DYS	opsd_bovin	A	X-ray diffraction	2.3		agonist	False		Crystal Structure of T94I rhodopsin mutant				Structural role of the T94I rhodopsin mutation in congenital stationary night blindness.	10.15252/embr.201642671	eligible_genuine_partner_free	active_or_active_like	True	T94I rhodopsin crystal; no intracellular transducer.	https://www.rcsb.org/structure/5DYS	Deposited mmCIF _struct.title/_em_entity_assembly.name/_em_3d_reconstruction.num_particles where available					
terminal_ligand_permissive_P1_59	5TE3	opsd_bovin	A	X-ray diffraction	2.7		unknown	False		Crystal structure of Bos taurus opsin at 2.7 Angstrom				Photocyclic behavior of rhodopsin induced by an atypical isomerization mechanism.	10.1073/pnas.1617446114	eligible_genuine_partner_free	active_or_active_like	True	Opsin crystal; no intracellular transducer.	https://www.rcsb.org/structure/5TE3	Deposited mmCIF _struct.title/_em_entity_assembly.name/_em_3d_reconstruction.num_particles where available					
terminal_ligand_permissive_P1_59	6FK6	opsd_bovin	A	X-ray diffraction	2.36		agonist	False		Crystal structure of N2C/D282C stabilized opsin bound to RS01				Ligand channel in pharmacologically stabilized rhodopsin.	10.1073/pnas.1718084115	eligible_genuine_partner_free	active_or_active_like	True	Pharmacologically stabilised opsin crystal; small-molecule ligand, no intracellular transducer.	https://www.rcsb.org/structure/6FK6	Deposited mmCIF _struct.title/_em_entity_assembly.name/_em_3d_reconstruction.num_particles where available					
terminal_ligand_permissive_P1_59	6FK7	opsd_bovin	A	X-ray diffraction	2.62		agonist	False		Crystal structure of N2C/D282C stabilized opsin bound to RS06				Ligand channel in pharmacologically stabilized rhodopsin.	10.1073/pnas.1718084115	eligible_genuine_partner_free	active_or_active_like	True	Pharmacologically stabilised opsin crystal; small-molecule ligand, no intracellular transducer.	https://www.rcsb.org/structure/6FK7	Deposited mmCIF _struct.title/_em_entity_assembly.name/_em_3d_reconstruction.num_particles where available					
terminal_ligand_permissive_P1_59	6FK8	opsd_bovin	A	X-ray diffraction	2.87		agonist	False		Crystal structure of N2C/D282C stabilized opsin bound to RS08				Ligand channel in pharmacologically stabilized rhodopsin.	10.1073/pnas.1718084115	eligible_genuine_partner_free	active_or_active_like	True	Pharmacologically stabilised opsin crystal; small-molecule ligand, no intracellular transducer.	https://www.rcsb.org/structure/6FK8	Deposited mmCIF _struct.title/_em_entity_assembly.name/_em_3d_reconstruction.num_particles where available					
terminal_ligand_permissive_P1_59	6FK9	opsd_bovin	A	X-ray diffraction	2.63		agonist	False		Crystal structure of N2C/D282C stabilized opsin bound to RS09				Ligand channel in pharmacologically stabilized rhodopsin.	10.1073/pnas.1718084115	eligible_genuine_partner_free	active_or_active_like	True	Pharmacologically stabilised opsin crystal; small-molecule ligand, no intracellular transducer.	https://www.rcsb.org/structure/6FK9	Deposited mmCIF _struct.title/_em_entity_assembly.name/_em_3d_reconstruction.num_particles where available					
terminal_ligand_permissive_P1_59	6FKA	opsd_bovin	A	X-ray diffraction	2.7		agonist	False		Crystal structure of N2C/D282C stabilized opsin bound to RS11				Ligand channel in pharmacologically stabilized rhodopsin.	10.1073/pnas.1718084115	eligible_genuine_partner_free	active_or_active_like	True	Pharmacologically stabilised opsin crystal; small-molecule ligand, no intracellular transducer.	https://www.rcsb.org/structure/6FKA	Deposited mmCIF _struct.title/_em_entity_assembly.name/_em_3d_reconstruction.num_particles where available					
terminal_ligand_permissive_P1_59	6FKB	opsd_bovin	A	X-ray diffraction	3.03		agonist	False		Crystal structure of N2C/D282C stabilized opsin bound to RS13				Ligand channel in pharmacologically stabilized rhodopsin.	10.1073/pnas.1718084115	eligible_genuine_partner_free	active_or_active_like	True	Pharmacologically stabilised opsin crystal; small-molecule ligand, no intracellular transducer.	https://www.rcsb.org/structure/6FKB	Deposited mmCIF _struct.title/_em_entity_assembly.name/_em_3d_reconstruction.num_particles where available					
terminal_ligand_permissive_P1_59	6FKC	opsd_bovin	A	X-ray diffraction	2.46		agonist	False		Crystal structure of N2C/D282C stabilized opsin bound to RS15				Ligand channel in pharmacologically stabilized rhodopsin.	10.1073/pnas.1718084115	eligible_genuine_partner_free	active_or_active_like	True	Pharmacologically stabilised opsin crystal; small-molecule ligand, no intracellular transducer.	https://www.rcsb.org/structure/6FKC	Deposited mmCIF _struct.title/_em_entity_assembly.name/_em_3d_reconstruction.num_particles where available					
terminal_ligand_permissive_P1_59	6FKD	opsd_bovin	A	X-ray diffraction	2.49		agonist	False		Crystal structure of N2C/D282C stabilized opsin bound to RS16				Ligand channel in pharmacologically stabilized rhodopsin.	10.1073/pnas.1718084115	eligible_genuine_partner_free	active_or_active_like	True	Pharmacologically stabilised opsin crystal; small-molecule ligand, no intracellular transducer.	https://www.rcsb.org/structure/6FKD	Deposited mmCIF _struct.title/_em_entity_assembly.name/_em_3d_reconstruction.num_particles where available					
terminal_ligand_permissive_P1_59	6AK3	pe2r3_human	B	X-ray diffraction	2.9		agonist	True	b562	Crystal structure of the human prostaglandin E receptor EP3 bound to prostaglandin E2				Crystal structure of the endogenous agonist-bound prostanoid receptor EP3.	10.1038/s41589-018-0171-8	eligible_partner_free_but_terminal_fusion	active	True	Agonist-bound EP3 X-ray receptor with b562 terminal fusion; no G protein/transducer.	https://www.rcsb.org/structure/6AK3	Deposited mmCIF _struct.title/_em_entity_assembly.name/_em_3d_reconstruction.num_particles where available					
